,Administrador,Usuario,mini juego,color presionado,dificultad,Juego,botón correcto,tiempo de interacción,número de interacción,auto push,tiempo de lección,tiempo de sesión
0,1,2,8,3,0,0,1,5.399169,1.0,0.0,0.0,0.0
1,1,2,8,0,0,0,0,1.2834,2.0,0.0,0.0,0.0
2,1,2,8,1,0,0,1,2.700226,3.0,0.0,0.0,0.0
3,1,2,8,1,0,0,0,3.050262,4.0,0.0,0.0,0.0
4,1,2,8,1,0,0,0,4.750256,5.0,0.0,0.0,0.0
5,1,2,8,1,0,0,0,7.400463,6.0,0.0,0.0,0.0
6,1,2,8,1,0,0,0,13.16735,7.0,0.0,0.0,0.0
7,1,2,8,2,0,0,1,4.4,8.0,0.0,0.0,0.0
8,1,2,8,1,0,0,0,14.51718,9.0,0.0,0.0,0.0
9,1,2,8,3,0,0,0,15.61735,10.0,0.0,0.0,0.0
10,1,2,8,1,0,0,0,16.80135,11.0,0.0,0.0,0.0
11,1,2,8,0,0,0,1,18.16748,12.0,0.0,0.0,0.0
12,1,2,8,4,0,0,2,0.0,0.0,0.0,0.0,0.0
13,1,2,0,3,0,0,0,9.223312,1.0,0.0,0.0,0.0
14,1,2,0,3,0,0,1,10.40688,2.0,0.0,0.0,0.0
15,1,2,0,0,0,0,0,1.184384,3.0,0.0,0.0,0.0
16,1,2,0,0,0,0,1,4.400641,4.0,0.0,0.0,0.0
17,1,2,0,3,0,0,0,2.050367,5.0,0.0,0.0,0.0
18,1,2,0,3,0,0,1,2.534215,6.0,0.0,0.0,0.0
19,1,2,0,2,0,0,1,2.033403,7.0,0.0,0.0,0.0
20,1,2,0,4,0,0,2,0.0,0.0,0.0,0.0,0.0
21,1,2,2,0,0,0,0,21.19685,1.0,0.0,0.0,0.0
22,1,2,2,0,0,0,1,4.4,2.0,0.0,0.0,0.0
23,1,2,2,2,0,0,1,2.066363,3.0,0.0,0.0,0.0
24,1,2,2,0,0,0,0,0.1333601,4.0,0.0,0.0,0.0
25,1,2,2,0,0,0,1,1.750274,5.0,0.0,0.0,0.0
26,1,2,2,2,0,0,1,0.6000757,6.0,0.0,0.0,0.0
27,1,2,2,4,0,0,2,0.0,0.0,0.0,0.0,0.0
28,1,2,3,0,0,0,1,5.166974,1.0,0.0,0.0,0.0
29,1,2,3,0,0,0,0,5.750237,2.0,0.0,0.0,0.0
30,1,2,3,3,0,0,1,13.03398,3.0,0.0,0.0,0.0
31,1,2,3,1,0,0,1,2.067,4.0,0.0,0.0,0.0
32,1,2,3,2,0,0,0,0.9999382,5.0,0.0,0.0,0.0
33,1,2,3,2,0,0,0,7.867492,6.0,0.0,0.0,0.0
34,1,2,3,1,0,0,0,17.91809,7.0,0.0,0.0,0.0
35,1,2,3,2,0,0,0,4.4,8.0,0.0,0.0,0.0
36,1,2,3,1,0,0,0,4.4,9.0,0.0,0.0,0.0
37,1,2,3,1,0,0,0,4.4,10.0,0.0,0.0,0.0
38,1,2,3,1,0,0,0,4.4,11.0,0.0,0.0,0.0
39,1,2,3,3,0,0,1,4.4,12.0,0.0,0.0,0.0
40,1,2,3,4,0,0,2,0.0,0.0,0.0,0.0,0.0
41,1,2,1,2,0,0,0,4.4,1.0,0.0,0.0,0.0
42,1,2,1,2,0,0,0,4.4,2.0,0.0,0.0,0.0
43,1,2,1,2,0,0,0,4.4,3.0,0.0,0.0,0.0
44,1,2,1,2,0,0,0,4.4,4.0,0.0,0.0,0.0
45,1,2,1,2,0,0,1,4.4,5.0,0.0,0.0,0.0
46,1,2,1,3,0,0,1,4.4,6.0,0.0,0.0,0.0
47,1,2,1,0,0,0,0,4.4,7.0,0.0,0.0,0.0
48,1,2,1,0,0,0,1,4.4,8.0,0.0,0.0,0.0
49,1,2,1,0,0,0,1,10.95004,9.0,0.0,0.0,0.0
50,1,2,1,4,0,0,2,0.0,0.0,0.0,0.0,0.0
51,1,2,0,1,1,0,0,3.221607,1.0,0.0,0.0,0.0
52,1,2,0,2,1,0,1,4.150063,2.0,0.0,0.0,0.0
53,1,2,0,0,1,0,0,6.617437,3.0,0.0,0.0,0.0
54,1,2,0,0,1,0,0,7.45023,4.0,0.0,0.0,0.0
55,1,2,0,0,1,0,0,0.6334368,5.0,0.0,0.0,0.0
56,1,2,0,2,1,0,0,8.800414,6.0,0.0,0.0,0.0
57,1,2,0,2,1,0,0,7.633595,7.0,0.0,0.0,0.0
58,1,2,0,2,1,0,1,7.883645,8.0,0.0,0.0,0.0
59,1,2,0,1,1,0,0,3.250587,9.0,0.0,0.0,0.0
60,1,2,0,1,1,0,1,5.116871,10.0,0.0,0.0,0.0
61,1,2,0,3,1,0,1,1.050508,11.0,0.0,0.0,0.0
62,1,2,0,1,1,0,1,1.433431,12.0,0.0,0.0,0.0
63,1,2,0,4,1,0,2,0.0,0.0,0.0,0.0,0.0
64,1,2,2,2,1,0,0,2.933734,1.0,0.0,0.0,0.0
65,1,2,2,1,1,0,0,7.383062,2.0,0.0,0.0,0.0
66,1,2,2,0,1,0,0,0.9666955,3.0,0.0,0.0,0.0
67,1,2,2,0,1,0,0,2.950199,4.0,0.0,0.0,0.0
68,1,2,2,0,1,0,0,5.084059,5.0,0.0,0.0,0.0
69,1,2,2,0,1,0,0,5.284149,6.0,0.0,0.0,0.0
70,1,2,2,0,1,0,0,6.166891,7.0,0.0,0.0,0.0
71,1,2,2,1,1,0,0,1.201231,8.0,0.0,0.0,0.0
72,1,2,2,1,1,0,1,7.250793,9.0,0.0,0.0,0.0
73,1,2,2,2,1,0,0,0.8340555,10.0,0.0,0.0,0.0
74,1,2,2,2,1,0,1,6.584575,11.0,0.0,0.0,0.0
75,1,2,2,0,1,0,0,0.3166642,12.0,0.0,0.0,0.0
76,1,2,2,0,1,0,1,2.016954,13.0,0.0,0.0,0.0
